абайя абайя noun:inanim:f:v_naz:ua_1992
абвер абвер noun:inanim:m:v_naz
абзац абзац noun:inanim:m:v_naz
абиде абиде adv:&pron:ind
абищо абищо noun:inanim:n:v_naz:&pron:ind
абияк абияк adv:&pron:ind
аборт аборт noun:inanim:m:v_naz
абощо абощо part
абрек абрек noun:anim:m:v_naz
абрис абрис noun:inanim:m:v_naz
абхаз абхаз noun:anim:m:v_naz
абцуг абцуг noun:inanim:m:v_naz
аваль аваль noun:inanim:m:v_naz
аванс аванс noun:inanim:m:v_naz
авгіт авгіт noun:inanim:m:v_naz
авгур авгур noun:anim:m:v_naz
авдит авдит noun:inanim:m:v_naz:ua_2019
авеню авеню noun:inanim:f:v_naz:nv
аверс аверс noun:inanim:m:v_naz
авжеж авжеж part
авізо авізо noun:inanim:n:v_naz:nv
авлос авлос noun:inanim:m:v_naz
аврал аврал noun:inanim:m:v_naz
авран авран noun:inanim:m:v_naz
автол автол noun:inanim:m:v_naz
автор автор noun:anim:m:v_naz
агава агава noun:inanim:f:v_naz
агама агама noun:anim:f:v_naz
агамі агамі noun:anim:m:v_naz:nv
агапе агапе noun:inanim:n:v_naz:nv
агенс агенс noun:inanim:m:v_naz
агент агент noun:anim:m:v_naz
агент агент noun:inanim:m:v_naz
агора агора noun:inanim:f:v_naz
аграф аграф noun:inanim:m:v_naz
агуті агуті noun:anim:m:v_naz:nv
аґрус аґрус noun:inanim:m:v_naz
адакс адакс noun:inanim:m:v_naz
адепт адепт noun:anim:m:v_naz
аджеж аджеж part
адиге адиге noun:anim:m:v_naz:nv
адиге адиге noun:anim:f:v_naz:nv
адиги адиги noun:anim:p:v_naz:ns
адрон адрон noun:inanim:m:v_naz
адукт адукт noun:inanim:m:v_naz
аероб аероб noun:inanim:m:v_naz
аерон аерон noun:inanim:m:v_naz
ажгон ажгон noun:inanim:m:v_naz
ажень ажень part
азарт азарт noun:inanim:m:v_naz
азіат азіат noun:anim:m:v_naz
айван айван noun:inanim:m:v_naz
аймак аймак noun:inanim:m:v_naz
айпад айпад noun:inanim:m:v_naz
айпод айпод noun:inanim:m:v_naz
айран айран noun:inanim:m:v_naz
айсор айсор noun:anim:m:v_naz
айфон айфон noun:inanim:m:v_naz
акажу акажу noun:inanim:n:v_naz:nv
акант акант noun:inanim:m:v_naz
аканф аканф noun:inanim:m:v_naz
акати акати verb:imperf:inf
акбар акбар noninfl:foreign
акіта акіта noun:anim:f:v_naz
акорд акорд noun:inanim:m:v_naz
акрил акрил noun:inanim:m:v_naz
аксис аксис noun:anim:m:v_naz
аксон аксон noun:inanim:m:v_naz
актив актив noun:inanim:m:v_naz
актин актин noun:inanim:m:v_naz
